mean_cv_score,std_cv_score,mean_mse,std_mse,mean_r2,std_r2,hyperparams
0.9171311939386138,0.0008526711911154838,18301.82858938553,801.2122734784098,0.9171311939386138,0.0008526711911154838,"{'n_estimators': 1000, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}"
0.916920882121542,0.000765954874780761,18349.338017972368,822.8860681543993,0.916920882121542,0.000765954874780761,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}"
0.9143779649359798,0.0013668389269281822,18936.731655835007,1324.5500674757695,0.9143779649359798,0.0013668389269281822,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}"
0.9135761770802271,0.0016633330404395297,19077.72068965818,664.5300794425311,0.9135761770802271,0.0016633330404395297,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}"
0.9129654011084887,0.0008794192844542859,19243.053417800103,1233.7111150624423,0.9129654011084887,0.0008794192844542859,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}"
0.9129654011084887,0.0008794192844542859,19243.053417800103,1233.7111150624423,0.9129654011084887,0.0008794192844542859,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}"
0.9125650143436359,0.001375115548064132,19304.605251530123,740.2946688578159,0.9125650143436359,0.001375115548064132,"{'n_estimators': 1000, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}"
0.9123140647273782,0.00010489140295483201,19377.733547458687,1070.3374573607853,0.9123140647273782,0.00010489140295483201,"{'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}"
0.9122749938827491,0.001385979632906098,19368.563051430134,741.3574367661677,0.9122749938827491,0.001385979632906098,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}"
0.9122749938827491,0.001385979632906098,19368.563051430134,741.3574367661677,0.9122749938827491,0.001385979632906098,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}"
0.9122262872907851,0.00011651380774674314,19394.486192743425,1022.4604871703868,0.9122262872907851,0.00011651380774674314,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}"
0.9122262872907851,0.00011651380774674314,19394.486192743425,1022.4604871703868,0.9122262872907851,0.00011651380774674314,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}"
0.9117470046479366,0.0012206632572542286,19487.210196250482,784.1937052778794,0.9117470046479366,0.0012206632572542286,"{'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}"
0.9116535863459934,0.0006381494499286267,19530.0516206589,1196.06218398885,0.9116535863459934,0.0006381494499286267,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}"
0.9113773535140324,0.00030842206666464866,19579.78832379085,990.1914798490834,0.9113773535140324,0.00030842206666464866,"{'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}"
0.9113773535140324,0.00030842206666464866,19579.78832379085,990.1914798490834,0.9113773535140324,0.00030842206666464866,"{'n_estimators': 1000, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}"
0.9109436594461057,0.00032482749011908396,19675.428356811935,991.7455177211541,0.9109436594461057,0.00032482749011908396,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}"
0.9108036644433044,0.0008880625513756901,19699.6376423752,868.9559693320462,0.9108036644433044,0.0008880625513756901,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}"
0.9101425835834164,2.913266838444617e-05,19856.673885838856,1079.5287638959326,0.9101425835834164,2.913266838444617e-05,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}"
0.909818139943551,0.0003997719831905777,19923.246074642928,988.6257165550505,0.909818139943551,0.0003997719831905777,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}"
