mean_cv_score,std_cv_score,mean_mse,std_mse,mean_r2,std_r2,hyperparams
0.9191797602661651,0.014099294062852815,17766.252698426713,3577.021269247472,0.9191797602661651,0.014099294062852815,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}"
0.9191797602661651,0.014099294062852815,17766.252698426713,3577.021269247472,0.9191797602661651,0.014099294062852815,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}"
0.9189778811076497,0.01663179573735852,17826.85376870202,4117.65898694166,0.9189778811076497,0.01663179573735852,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True}"
0.9186920055373082,0.014003353441536949,17882.50762805256,3607.7190427577852,0.9186920055373082,0.014003353441536949,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}"
0.9184978685567662,0.016460928390910415,17926.40705877981,4071.483349023479,0.9184978685567662,0.016460928390910415,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True}"
0.9167710359285515,0.016977915176603256,18288.285874683464,4131.403257110712,0.9167710359285515,0.016977915176603256,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}"
0.9167457478653093,0.015223615914184545,18376.202554545267,4107.783758165126,0.9167457478653093,0.015223615914184545,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}"
0.9163418885811113,0.01632929422246023,18439.284722156997,4212.48651737874,0.9163418885811113,0.01632929422246023,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}"
0.9160201050288963,0.017601571405057817,18448.19525982062,4245.377906601425,0.9160201050288963,0.017601571405057817,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}"
0.9155854025251596,0.01588175383605152,18621.217508995447,4204.188677095346,0.9155854025251596,0.01588175383605152,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}"
0.9149156600965395,0.015758388886843586,18782.044870845803,4236.258585713789,0.9149156600965395,0.015758388886843586,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}"
0.9138001731872725,0.015487514838204592,19043.201611056407,4268.394576377831,0.9138001731872725,0.015487514838204592,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}"
0.912282641503397,0.013183004899982751,19384.79820900532,3958.9814719067417,0.912282641503397,0.013183004899982751,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}"
0.9118786616272105,0.014748133393979521,19482.53485788691,4245.625726596686,0.9118786616272105,0.014748133393979521,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}"
0.9118765949789174,0.014624073695074336,19493.37167724628,4268.105428691715,0.9118765949789174,0.014624073695074336,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}"
0.9118249295562169,0.014676806951387143,19493.05251236483,4227.348324957387,0.9118249295562169,0.014676806951387143,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}"
0.9111474293516995,0.01399375313776406,19662.45677073375,4219.94799025241,0.9111474293516995,0.01399375313776406,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}"
0.9110782270583387,0.013393429731515322,19646.78552799416,4002.587320734768,0.9110782270583387,0.013393429731515322,"{'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}"
0.9109394324140613,0.014635692176138707,19714.83046837038,4345.95102899123,0.9109394324140613,0.014635692176138707,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}"
0.9100581169886895,0.015013614786846818,19904.162570408596,4404.650666385578,0.9100581169886895,0.015013614786846818,"{'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}"
